日付,機種名,台番,累計ゲーム数,BIG回数,REG回数,推測差枚,REG確率,最有力設定,設定1(%),設定2(%),設定3(%),設定4(%),設定5(%),設定6(%)
2026-07-06,SマイジャグラーV,273,4047,10,13,-1169,311,設定1,43.9,22.2,19.5,10.0,3.1,1.3
2026-07-06,SマイジャグラーV,274,2130,9,3,-87,710,設定1,58.7,22.8,11.7,4.6,1.6,0.7
2026-07-06,SマイジャグラーV,275,1723,8,3,156,574,設定1,53.6,22.3,13.4,6.6,2.7,1.5
2026-07-06,SマイジャグラーV,276,2331,10,5,105,466,設定1,52.6,22.5,14.0,6.8,2.7,1.3
2026-07-06,SマイジャグラーV,277,1506,3,4,-688,376,設定1,49.9,22.0,15.4,7.9,3.0,1.8
2026-07-06,SマイジャグラーV,278,4453,19,12,410,371,設定1,47.3,22.6,16.7,8.7,3.4,1.3
2026-07-06,SマイジャグラーV,299,2450,10,4,-132,612,設定1,58.4,22.9,11.9,4.6,1.6,0.6
2026-07-06,SマイジャグラーV,300,510,2,0,-127,0,設定1,52.7,21.7,13.4,7.0,3.0,2.2
2026-07-06,SマイジャグラーV,301,2314,11,7,557,330,設定1,41.2,20.1,16.9,11.7,5.8,4.2
2026-07-06,SマイジャグラーV,302,5896,31,11,1476,536,設定1,62.2,23.7,9.9,3.0,1.0,0.2
2026-07-06,SマイジャグラーV,303,986,2,3,-405,328,設定1,46.4,21.0,15.9,9.5,4.1,3.1
2026-07-06,SマイジャグラーV,304,5413,18,19,-300,284,設定1,30.8,18.7,23.2,17.3,6.7,3.4
2026-07-05,SマイジャグラーV,273,5698,19,13,-975,438,設定1,60.0,24.2,11.8,3.1,0.7,0.1
2026-07-05,SマイジャグラーV,274,10065,53,42,4769,239,設定6,0.3,0.5,3.0,16.8,26.4,53.0
2026-07-05,SマイジャグラーV,275,4665,21,12,638,388,設定1,49.0,22.9,16.0,7.9,3.1,1.1
2026-07-05,SマイジャグラーV,276,10894,53,48,4358,226,設定6,0.1,0.2,1.8,14.2,23.3,60.4
2026-07-05,SマイジャグラーV,277,9427,43,38,2745,248,設定6,2.0,2.3,10.0,29.1,26.5,30.0
2026-07-05,SマイジャグラーV,278,8315,34,28,949,296,設定3,22.9,16.1,24.9,22.3,9.9,3.8
2026-07-05,SマイジャグラーV,299,4831,20,11,104,439,設定1,56.3,23.8,13.2,4.8,1.5,0.4
2026-07-05,SマイジャグラーV,300,10277,53,36,3941,285,設定4,6.0,5.6,15.0,29.8,26.6,17.1
2026-07-05,SマイジャグラーV,301,7266,36,24,2294,302,設定4,20.8,14.2,20.8,22.6,14.0,7.6
2026-07-05,SマイジャグラーV,302,6314,18,21,-1180,300,設定1,37.0,21.5,23.6,13.0,3.7,1.2
2026-07-05,SマイジャグラーV,303,7690,35,27,1837,284,設定4,15.8,11.9,21.4,26.2,15.6,9.1
2026-07-05,SマイジャグラーV,304,6149,23,15,-360,409,設定1,56.2,24.3,13.7,4.4,1.2,0.2
2026-07-04,SマイジャグラーV,273,5218,23,14,652,372,設定1,47.1,22.8,16.9,8.7,3.4,1.1
2026-07-04,SマイジャグラーV,274,2942,11,6,-286,490,設定1,56.6,23.1,12.9,5.1,1.7,0.6
2026-07-04,SマイジャグラーV,275,2386,5,6,-1064,397,設定1,53.2,22.9,14.7,6.3,2.0,0.9
2026-07-04,SマイジャグラーV,276,6666,24,28,512,238,設定4,7.9,6.9,18.8,31.0,18.0,17.4
2026-07-04,SマイジャグラーV,277,1883,10,3,446,627,設定1,54.4,22.3,12.9,6.3,2.7,1.4
2026-07-04,SマイジャグラーV,278,4035,11,8,-1395,504,設定1,62.4,23.5,10.6,2.7,0.6,0.1
2026-07-04,SマイジャグラーV,299,6749,29,22,1037,306,設定1,28.9,18.0,22.5,18.3,8.5,3.7
2026-07-04,SマイジャグラーV,300,3222,13,8,52,402,設定1,50.8,22.7,15.1,7.4,2.8,1.2
2026-07-04,SマイジャグラーV,301,1797,4,3,-891,599,設定1,57.7,22.9,12.5,4.8,1.5,0.7
